name,nic,phone,division
Angelo Sirisena,483742318V,0787962090,Mahahena West 145/C
Pathum Bandara,276432751V,0724074695,Beliatta Ihala
Namal Shanaka,200040872075,0776567009,Pannala 397/C
Nipun Udana,825551068V,0705651457,Mahagama North 430/C
Nuwan Silva,198944804978,0741646668,Paranakanda South 854/C
Krishantha Kumaratunga,155452737V,0789060296,Lunugamvehera Ihala 23/C
Rumesh Sirisena,725893947V,0707223210,Pahalamulla Central
Nishantha Dananjaya,880758030V,0741402347,Ginigamuwa Ihala
Lahiru Madushanka,151852908V,0762189694,Alawwa East
Janaka Herath,198030324823,0727357087,Vengalacheddikulam East
Priyantha Malinga,775255117V,0726305035,Nattandiya East 524
Thushara Theekshana,753760053V,0751534702,Medapura Pahala 177/B
Chaminda Premadasa,197995415206,0719043729,Thalahena West 834
Asanka Senanayake,842244406V,0724873602,Kothmale East 508
Wanindu Jayawickrama,404576438V,0726463925,Medapura Ihala
Susantha Silva,643398640V,0747280091,Walallawita West
Wasantha Dickwella,195030791643,0759896637,Medawela Central 864/A
Dushmantha Rajitha,488882216V,0752423868,Lahugala Pahala 57/C
Dinesh Perera,537684880V,0775529628,Medadeniya North 984
Thushara Chandimal,200433414293,0716936430,Ihalagedara North
Chandana Dissanayake,994345763V,0718393748,Okewela West
Mahela Thirimanne,377172921V,0744745335,Kudawatta North 836/A
Kamal Herath,199323679374,0763939785,Uduvil East 313/B
Wasantha Jayawardena,195490114349,0727111374,Giniwatta Central
Suranga Kumaratunga,843599056V,0787984809,Pannala South 78
Dushmantha Dissanayake,200091486166,0702867823,Ihaladeniya Ihala 196/B
Kumar Herath,386887654V,0746874323,Rukhena Central 826
Chinthaka Fernando,141964529V,0718555577,Mawanella South 712/C
Ruwan Fernando,195035366790,0746204657,Pahalawela Central 396/A
Kamal Bandaranaike,196743340079,0771933381,Kudatota South 142/C
Bhanuka Madushanka,226128091V,0782431425,Lankapura Central 451
Dushmantha Fonseka,862965415V,0758544557,Rukkanda Pahala
Asela Kumaratunga,198296082393,0761579477,Uduvil Pahala 373/B
Sunil Bandara,832218696V,0748465979,Hingurahena Pahala 16/B
Sunil Fonseka,196133684984,0757279248,Pahalagamuwa Pahala
Priyantha Muralitharan,199111124509,0714573992,Kaluoya East 510/C
Susil Hasaranga,895937396V,0765409289,Thalahena 49/A
Samantha Nissanka,402465795V,0762395225,Galgamuwa Central 417/A
Nimal Chandimal,197713308656,0756579119,Aluthgoda Central 57/A
Lasith Perera,994298556V,0762144743,Bope-Poddala West 16
Chathura Nissanka,506889537V,0775993115,Hatton Ihala 49/A
Bhanuka Dissanayake,930117833V,0728124378,Ihalawela 310/C
Chamara Senanayake,200087556341,0769423469,Mahaoya Ihala 329/B
Chathura Kumaratunga,947475310V,0754811137,Imaduwa South 831/B
Ajith Sirisena,197724336861,0773991273,Palleoya East 202/A
Chamika Shanaka,668189827V,0779247624,Ratuwatta Central 536/B
Kumara Chameera,917607027V,0763871139,Wellawaya East 283/C
Darshana Bandara,195118775716,0783147211,Batutota West
Darshana Vandersay,250202875V,0712700691,Walipura 646
Kavindu Senanayake,145474840V,0767346430,Kudadeniya East 147/B
Sudeepa Gunawardena,199462453401,0779188971,Vavuniya West 21
Thilak Perera,199558560715,0724877623,Medahena West 633
Kumara Wickremesinghe,195249886587,0701904803,Digagama Central 361/A
Manjula Gunawardena,200394737015,0771963838,Medawatta West 718/A
Angelo Bandaranaike,361372942V,0758691702,Kiriella Pahala 358/B
Dilan Silva,195568272449,0784748910,Udunuwara
Ajith Atapattu,648380575V,0776822478,Udakaduwa
Dinesh Karunaratne,195641623280,0725071937,Rukgoda West 678/A
Samantha Herath,196415401501,0714683893,Ginikanda North
Asela Premadasa,818550128V,0783304010,Sudutota South 641/C
Isuru Dananjaya,427467361V,0712982755,Galigamuwa West
Charith Vandersay,198295089282,0705906425,Medagama Ihala 540/B
Sudeepa Muralitharan,198189483042,0713011414,Mutur West 423/A
Malith Shanaka,731993620V,0729157536,Suduwatta North
Dimuth Jayawickrama,415865284V,0786932756,Attanagalla South 616/C
Chamika Fernando,839027787V,0786871764,Pottuvil West 3
Bimal Jayawardena,200130156113,0728519445,Paranapura East 406/C
Rumesh Vandersay,195077353831,0722069700,Soranathota Pahala 713/A
Sanjeewa Malinga,220603188V,0711684304,Verugal North 96/A
Thushara Bandara,429872176V,0785239078,Kalugala Central 95/B
Amila Silva,196225202223,0714012794,Verugal 476/C
Chamara Jayawickrama,197241663994,0779650029,Pallekanda East 405/B
Malith Fernando,196194267301,0788872056,Kilinochchi West 570/B
Sanka Hasaranga,199355893795,0777389840,Waligamuwa South
Charith Herath,907659283V,0722967217,Paranaoya West 242/A
Janaka Premadasa,199766710460,0752992511,Ambanganga South 625/B
Yasas Karunaratne,289778867V,0728397688,Udadeniya 678/A
Chamara Fernando,267917538V,0742610500,Kaluhena East 830/C
Thilak Sandakan,666728247V,0725004199,Walikumbura East
Susantha Vandersay,269893726V,0746256042,Kuchchaveli North 369/B
Sanath Wellalage,195036552227,0705758585,Imbulpe South 253/B
Asanka Fonseka,677150035V,0747647989,Batuoya 767
Chaminda Sandakan,578270801V,0746341934,Batupitiya Pahala 404/A
Susantha Fonseka,370852807V,0765040415,Aluthoya East 476/B
Yasas Chandimal,195270618377,0705272951,Nawalapitiya Central 471/A
Nilantha Chandimal,571462289V,0726315182,Udakanda South
Upul Fernando,200297305795,0741333836,Vavuniya South South 297/A
Kasun Chameera,882778129V,0758021124,Kurunegala North 161/C
Chandana Udana,453932187V,0777511606,Tellippalai Pahala 582/B
Amal Lakmal,130980722V,0774413284,Madhu West 715
Chathura Bandara,199648772811,0779866674,Mahapura
Sahan Vandersay,106167687V,0729479713,Waligamuwa East
Lasantha Asalanka,235377676V,0788854516,Ginipura Ihala 866/C
Angelo Madushanka,755560985V,0754137111,Thalahena South 972/C
Yasas Perera,195378504143,0763447918,Galmulla East 732
Samantha Samarawickrama,236830710V,0763883002,Ihalagamuwa North 34/A
Sandun Karunaratne,409270339V,0723897024,Kalukanda South 10/C
Wasantha Liyanage,196257430533,0748767726,Pallepura North 497/B
Isuru Vandersay,143771132V,0758731524,Ambalantota Ihala 493/C
Manjula Bandara,281720852V,0766746494,Nawalahena South 221/A
Pubudu Fernando,281195824V,0708527796,Kattankudy West 499/B
Chathura Mendis,771651066V,0724488678,Pottuvil 727/A
Thilak Rajapaksa,281628347V,0755528680,Kalupitiya Central
Darshana Thirimanne,668840760V,0712322534,Kalukumbura Ihala 183
Kusal Jayawickrama,548336064V,0708534694,Paranawela East 897/C
Sunimal Karunaratne,588539081V,0758534323,Vengalacheddikulam East 991/A
Niroshan Perera,402047472V,0752696133,Morawewa North 844/C
Prasanna Jayawardena,372943353V,0781588380,Kalugala Pahala 351/B
Gayan Gunaratne,198532110708,0718787076,Beruwala West 295/A
Sunimal Muralitharan,196083809789,0709554332,Kalmunai Pahala 52/A
Dinesh Mathews,980864026V,0758182303,Galwela Central 338/B
Samantha Gunaratne,512796954V,0741278466,Anuradhapura Central
Pradeep Premadasa,196348862212,0713414985,Rajanganaya North 124/C
Gayan Muralitharan,139217874V,0768734557,Udunuwara 771/C
Kumara Asalanka,195820678634,0714208764,Manmunai Pahala 872/A
Sameera Lakmal,669583445V,0756436989,Pahalagala North 235/B
Wanindu Madushanka,701806346V,0757300219,Hinguragedara Pahala 479/B
Nilantha Karunaratne,196431143950,0785386827,Bulathkohupitiya West 529
Charith Fonseka,199180483624,0754093808,Walapane Central 600/A
Kapila Dananjaya,199316122758,0786223052,Ratuwatta Central 472
Kasun Hasaranga,862905123V,0717390375,Digadeniya Ihala 798/C
Sunil Nissanka,413435392V,0755763745,Aranayaka Central 898/B
Sujith Theekshana,199385677215,0726065444,Sudukumbura West 339
Asanka Fonseka,196776476873,0701933593,Hinguragamuwa Ihala 835/B
